source,label,rules,sentence
Ahlerstedt,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Harsefeld.
Ahnsbeck,piedmontese,template_boilerplate,"Ahnsbeck a l'é un munissipi dl'Almagna localisà ant ël distret ëd Celle, stat dla Bassa Sassònia."
Ahnsbeck,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Lachendorf.
Ahnsen,piedmontese,template_boilerplate,"Ahnsen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Schaumburg, stat dla Bassa Sassònia."
Ahnsen,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Eilsen.
Aichelberg,piedmontese,template_boilerplate,"Aichelberg a l'é na comun-a dl'Almagna, ant ël distret ëd Göppingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Aichhalden,piedmontese,template_boilerplate,"Aichhalden a l'é na comun-a dl'Almagna, ant ël distret ëd Rottweil, ant la region aministrativa ëd Freiburg, stat dël Baden-Württemberg."
Aichstetten,piedmontese,template_boilerplate,"Aichstetten a l'é na comun-a dl'Almagna, ant ël distret ëd Ravensburg, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Aichwald,piedmontese,template_boilerplate,"Aichwald a l'é na comun-a dl'Almagna, ant ël distret ëd Esslingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Aidlingen,piedmontese,template_boilerplate,"Aidlingen a l'é na comun-a dl'Almagna, ant ël distret ëd Böblingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Aitern,piedmontese,template_boilerplate,"Aitern a l'é na comun-a dl'Almagna, ant ël distret ëd Lörrach, ant la region aministrativa ëd Friburgh, stat dël Baden-Württemberg."
Aitrach,piedmontese,template_boilerplate,"Aitrach a l'é na comun-a dl'Almagna, ant ël distret ëd Ravensburg, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Albbruck,piedmontese,template_boilerplate,"Albbruck a l'é na comun-a dl'Almagna, ant ël distret ëd Waldshut, ant la region aministrativa ëd Friburgh, stat dël Baden-Württemberg."
Albershausen,piedmontese,template_boilerplate,"Albershausen a l'é na comun-a dl'Almagna, ant ël distret ëd Göppingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Albert_Eckhout,piedmontese,citation_shape,Le piture a son stàite vëddùe da lë siensià alman Alexander von Humboldt ant ël 1827 e da l'amperator dël Brasil Per II ant ël 1876: tuit doi a son stàit frapà da còsa a l'avio vëddù.
Alberto_Varvaro,piedmontese,isbn_doi;citation_shape,"Cheich tìtoj ëd soa produssion literaria: Storia, problemi e metodi della linguistica romanza, Nàpoli: Liguori, 1968 (2. ed. 1980; 3 ed. 1985. ISBN 88-207-0697-0) La grammatica e l'uso: grammatica italiana per le scuole medie superiori, Nàpoli: Liguori, 1978 (2. ed. 1981)."
Alberto_Varvaro,piedmontese,isbn_doi;citation_shape,"ISBN 88-207-0701-2 La lingua e la società: le ricerche sociolinguistiche, (Tascabili; 56) Nàpoli: Guida, 1978."
Alberto_Varvaro,piedmontese,isbn_doi,"ISBN 88-7042-363-8 Parlare e capire, 2."
Alberto_Varvaro,piedmontese,isbn_doi;citation_shape,"ISBN 88-207-0695-4 La parola nel tempo: lingua, società e storia, (Studi linguistici e semiologici; 20), Bològna: il Mulino, 1984."
Alberto_Varvaro,piedmontese,isbn_doi,"ISBN 88-15-00364-9 Linguistica romanza: corso introduttivo, 2."
Alberto_Varvaro,piedmontese,isbn_doi;citation_shape,"ISBN 88-207-3271-8 Il latino e la formazione delle lingue romanze, Bològna, Il Mulino, 2014."
Aldingen,piedmontese,template_boilerplate,"Aldingen a l'é na comun-a dl'Almagna, ant ël distret ëd Tuttlingen, ant la region aministrativa ëd Friburgh, stat dël Baden-Württemberg."
Alfhausen,piedmontese,template_boilerplate,"Alfhausen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Osnabrück, stat dla Bassa Sassònia."
Alfhausen,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Bersenbrück.
Alfstedt,piedmontese,template_boilerplate,"Alfstedt a l'é un munissipi dl'Almagna localisà ant ël distret ëd Rotenburg, stat dla Bassa Sassònia."
Alfstedt,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Geestequelle.
Algermissen,piedmontese,template_boilerplate,"Algermissen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Hildesheim, stat dla Bassa Sassònia."
Allensbach,piedmontese,template_boilerplate,"Allensbach a l'é na comun-a dl'Almagna, ant ël distret ëd Costansa, ant la region aministrativa ëd Friburgh, stat dël Baden-Württemberg."
Alleshausen,piedmontese,template_boilerplate,"Alleshausen a l'é na comun-a dl'Almagna, ant ël distret ëd Biberach, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Allmannsweiler,piedmontese,template_boilerplate,"Allmannsweiler a l'é na comun-a dl'Almagna, ant ël distret ëd Biberach, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Almstedt,piedmontese,template_boilerplate,"Almstedt a l'é un munissipi dl'Almagna localisà ant ël distret ëd Hildesheim, stat dla Bassa Sassònia."
Alt_Bukow,piedmontese,template_boilerplate,"A l'ha 15.13 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 478 abitant."
Alt_Krenzlin,piedmontese,template_boilerplate,"A l'ha 37.57 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 754 abitant."
Alt_Sührkow,piedmontese,template_boilerplate,"A l'ha 25.32 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 392 abitant."
Alt_Tellin,piedmontese,template_boilerplate,"A l'ha 24.32 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 395 abitant."
Alt_Zachun,piedmontese,template_boilerplate,"A l'ha 8.43 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 352 abitant."
Altbach,piedmontese,template_boilerplate,"Altbach a l'é na comun-a dl'Almagna, ant ël distret ëd Esslingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Altenhagen,piedmontese,template_boilerplate,"A l'ha 11.05 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 312 abitant."
Altenmedingen,piedmontese,template_boilerplate,"Altenmedingen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Uelzen, stat dla Bassa Sassònia."
Altenmedingen,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Bevensen.
Altenriet,piedmontese,template_boilerplate,"Altenriet a l'é na comun-a dl'Almagna, ant ël distret ëd Esslingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Altheim,piedmontese,template_boilerplate,"Altheim a l'é na comun-a dl'Almagna, ant ël distret ëd Biberach, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Althengstett,piedmontese,template_boilerplate,"Althengstett a l'é na comun-a dl'Almagna, ant ël distret ëd Calw, ant la region aministrativa ëd Karlsruhe, stat dël Baden-Württemberg."
Altkalen,piedmontese,template_boilerplate,"A l'ha 45.54 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 789 abitant."
Am_Salzhaff,piedmontese,template_boilerplate,"A l'ha 15.45 km² ëd aira, e soa popolassion dël 2019 a l'é staita stimà an 515 abitant."
Amelinghausen,piedmontese,template_boilerplate,"Amelinghausen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Lüneburg, stat dla Bassa Sassònia."
'O_sole_mio,sardinian,english_text,"Giai in su 1957 ""Bill Haley and His Comets"" nde ainat intzisu una versione, cun su tìtulu Come rock with me."
'Onne,sardinian,isbn_doi;citation_shape,"Manlio Brigaglia e Salvatore Tola, Fonni, in Dizionario storico-geografico dei comuni della Sardegna, vol. 2, Tàtari, Carlo Delfino editore, 2006,  pp. 207-209, ISBN 978-88-7138-430-6, OCLC 888708482."
420_(cannabis),sardinian,citation_shape,"Is manifestadas principalis in Nord America funt organizadas me is logus chi sighint: Hippie Hill in San Francisco's Golden Gate Park acanta a s'apendìtziu de Haight-Ashbury; University of Colorado's Boulder campus; Ottawa, Ontario, in Parliament Hill e Major's Hill Park; Montréal, Quebec, anchè is monumentus de Mount Royal; Edmonton, Alberta, Alberta Legislature Building; Vancouver, British Columbia, Vancouver Art Gallery, de su 2016 fintzas in Sunset Beach."
420_(cannabis),sardinian,url_metadata,"(EN) 420 Meaning: The True Story Of How April 20 Became ‘Weed Day’, in huffpost.com."
420_(cannabis),sardinian,url_metadata,"Mom and Dad now know about ”4/20”, in santacruzsentinel.com."
420_(cannabis),sardinian,url_metadata,"The new high life, in latimes.com."
ABBA:_The_Album,sardinian,english_text,"""Take a Chance on Me"" – 4:03 ""One Man, One Woman"" – 4:37 ""The Name of the Game"" – 4:53 (Andersson, Stig Andersson, Ulvaeus) ""Move On"" – 4:45 (Andersson, Stig Andersson, Ulvaeus) ""Hole in Your Soul"" – 3:43 ""Thank You for the Music"" – 3:51 ""I Wonder (Departure)"" – 4:34 (Andersson, Stig Andersson, Ulvaeus) ""I'm a Marionette"" – 4:05"
ABBA_(album),sardinian,english_text,"Mamma Mia (Andersson, Stig Anderson, Ulvaeus) – 3:32 Hey, Hey Helen (Andersson, Ulvaeus) – 3:17 Tropical Loveland (Andersson, Anderson, Ulvaeus) – 3:06 SOS (Andersson, Anderson, Ulvaeus) – 3:23 Man in the Middle (Andersson, Ulvaeus) – 3:03 Bang-A-Boomerang (Andersson, Anderson, Ulvaeus) – 3:04 I Do, I Do, I Do, I Do, I Do (Andersson, Anderson, Ulvaeus) – 3:17 Rock Me (Andersson, Ulvaeus) – 3:06 Intermezzo No. 1 (Andersson, Ulvaeus) – 3:48 I've Been Waiting For You (Andersson, Anderson, Ulvaeus) – 3:41 So Long (Andersson, Ulvaeus) – 3:06"
A_Manca_pro_s'Indipendèntzia,sardinian,citation_shape,Giassu ufitziale Archiviadu su 24 cabudanni 2010 in s'Internet Archive.
Achille_Bonito_Oliva,sardinian,citation_shape,"The different avant-gardes, Milano, Deco press, 1976."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"Arcimboldo, Parma, Franco Maria Ricci, 1978."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"La Transavanguardia Internazionale, Milano, Politi, 1982."
Achille_Bonito_Oliva,sardinian,isbn_doi;citation_shape,"Palazzo delle Esposizioni, Edizioni Carte Segrete, Roma, 1992, ISBN 88-85203-53-1."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"Renato Mambor, Milano, Galleria Breton, 1971."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"Isgrò: Kissinger, Milano, Galleria Blu, 1974."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"Neue Nationalgalerie Berlin, Berlin, 1974."
Achille_Bonito_Oliva,sardinian,template_boilerplate,"Giancarlo Gorsenio, Milano, Studio Ennesse, 1983."
Achille_Bonito_Oliva,sardinian,citation_shape,Video intervista Archiviadu su 22 austu 2022 in s'Internet Archive.
Adelàsia_Cocco,sardinian,isbn_doi;citation_shape,"Tallia, Aletti Editore, 2019,  pp. 10, ISBN 978-88-5915-779-3."
Adelàsia_Cocco,sardinian,isbn_doi;citation_shape,"Giovanna Vicarelli, Donne e professioni nell'Italia del Novecento, Il Mulino, 2007,  pp. 110, ISBN 978-88-1512-066-3."
Adelàsia_Cocco,sardinian,isbn_doi;citation_shape,"Vita, morte e miracoli di quaranta personalità sarde, Sestu, Domus de Janas, 2019, ISBN 978-88-97084-90-7, OCLC 1124656644."
Adriano_Olivetti,sardinian,template_boilerplate,"Adriano Olivetti, Società, Stato, Comunità."
Agalbursa_de_Cervera,sardinian,isbn_doi;citation_shape,"Massimo Rassu, 2006, ISBN 8888246959."
Agnese_de_Càlaris,sardinian,isbn_doi;url_metadata;citation_shape,"Alberto Boscolo, Agnese di Massa, in ""Dizionario Biografico degli Italiani"", Treccani, Roma 1966 (IT) Raimondo Carta Raspi, Storia della Sardegna, Milanu, Mursia, 1971, ISBN 9788842506850, OCLC 462998915, SBN IT\ICCU\TO0\0752056."
Agnese_de_Càlaris,sardinian,url_metadata,"Raimondo Pinna, Santa Igia, la città del giudice Guglielmo, Condaghes, Casteddu 2010 (IT) Antonietta Uras, L'ultima regina di Torres, Curcio, Roma 2014"
Agèntzia_Ispatziale_Europea,sardinian,url_metadata,"Istòria de sa cooperatzione ispatziale europea, 1958-2005, CLUEB (Bologna), 2006 (EN) Situ de sESA, in esa.int."
Agèntzia_Ispatziale_Europea,sardinian,url_metadata;citation_shape,Sos archìvios e su progetu 'Oral History of Europe in Space' de s'ESA sunt cunservados in sos Archìvios Istòricos de s'UE in Firentze (EN) Earth Snapshot Archiviadu su 20 santugaine 2020 in s'Internet Archive.
Alan_Lomax,sardinian,url_metadata,"(EN)Mister Jelly Roll, New York 1950 (EN)Folk Song Style and Culture, Washington, DC, 1968 (EN)Index of World Song, New York 1977 (IT)La terra del blues."
Alan_Lomax,sardinian,url_metadata,"Cun su babbu John A. Lomax: (EN)American Ballads and Folksongs, New York 1934 (EN)Negro Folksongs as Sung by Leadbelly, New York 1936"
Alan_Turing,sardinian,english_text,"In su 1937 at publicadu unu de is traballos de cosa sua prus mentovadu, ""On Computable Numbers with an application to the Entscheidungsproblem"" (A pitzus de is nùmeros computàbiles cun aplicatziones a su problema de sa decibilidade)."
Alan_Turing,sardinian,english_text,"""On Computable Numbers, with an Application to the Entscheidungsproblem"" est un'artìculu de meda importu pro sa lògica matemàtica e s'informàtica."
Alan_Turing/campidanesu,sardinian,english_text,"In su 1937 at pubricau unu de is traballus de cosa sua prus fentomadus, On Computable Numbers, with an Application to the Entscheidungsproblem, est a nai A Pitzu de is numerus chi fait a carcolai, cun un'aplicatzioni a su problema de sa Decidibilidadi."
Alan_Turing/campidanesu,sardinian,english_text,"On Computable Numbers, with an Application to the Entscheidungsproblem est unu artìculu de meda importu po sa lògica matemàtica e s'informàtica."
Alaró,sardinian,template_boilerplate,Alaró est una comuna ispagnola de 5.327 abitantes situadu in sa comunidade autònoma de sas Baleares.
Albina_Angioni,sardinian,isbn_doi;citation_shape,"Albina Angioni, Inbentu sa luxi - Poesias, Patiolla, Grafica del Parteolla, 2002, ISBN 978-88-88246-16-1."
Albina_Angioni,sardinian,isbn_doi;citation_shape,"Albina Angioni, Sa littra de mariedda e contus de su tempus chi currit, Turistel, 2006, ISBN 9788890230905."
Albina_Angioni,sardinian,isbn_doi;citation_shape,"Francesco Casula, Letteratura e Civiltà della Sardegna - Volume III - Il Teatro in Lingua Sarda, Patiolla, Grafica Del Parteolla, 2020, ISBN 978-88-6791-231-5."
Albino_Bernardini,sardinian,url_metadata;citation_shape,http://www.albinobernardini.it Archiviadu su 30 ghennàrgiu 2014 in s'Internet Archive.
Alcalá_de_la_Vega,sardinian,url_metadata;citation_shape,www.alcaladelavega.com Archiviadu su 6 santugaine 2015 in s'Internet Archive.
Alcúdia,sardinian,template_boilerplate,Alcúdia est una comuna ispagnola de 19.071 abitantes situadu in sa comunidade autònoma de sas Baleares.
Alfabetu_fonèticu_internatzionale,sardinian,url_metadata,"Pagina ufficiale de s'IPA, in internationalphoneticassociation.org."
Alfabetu_fonèticu_internatzionale,sardinian,url_metadata,"Scarica sa tabella IPA in pdf aggiornada a su 2015 (PDF), in internationalphoneticassociation.org."
Alfabetu_fonèticu_internatzionale,sardinian,citation_shape,WikiTeX Archiviadu su 6 cabudanni 2004 in s'Internet Archive.
Algaida,sardinian,template_boilerplate,Algaida est una comuna ispagnola de 5.050 abitantes situadu in sa comunidade autònoma de sas Baleares.
Alice_in_Chains,sardinian,url_metadata;citation_shape,"William DuVall - boghe, ghitarra ritmiga (2006-como) Jerry Cantrell - ghitarra solista, boghe (1987-como) Mike Inez - bassu (1993-como) Sean Kinney - batteria (1987-como) Layne Staley - boghe, ghitarra ritmiga (1987-2002) Mike Starr - basso (1987-1992) (EN) Jassu Ufitzialle de is Alice In Chains Archiviadu su 21 trìulas 2006 in s'Internet Archive."
All_About_Eve,sardinian,english_text,"All About Eve est una pellícula drammàticu de su 1950 dirìgidu dae Joseph L. Mankiewicz e basadu a pitzus de su contu  ""The Wisdom of Eve"" de Mary Orr, mancari custu non siat acreditadu me is tìtulos de sa pellìcula."
Alpitour,sardinian,url_metadata,"In su 2008, su Grupu lantzat Alpitourworld.com, su portale e-commerce in ue si podent comporare sas bagàntzias de Alpitour, Francorosso, Villaggi Bravo, Volando e Jeans."
Amblyocarenum_nuragicus,sardinian,english_text,"Decae, A., Colombo, M. & B. Manunza, Species diversity in the supposedly monotypic genus Amblyocarenum Simon, 1892, with the description of a new species from Sardinia (Araneae, Mygalomorphae, Cyrtaucheniidae) in Arachnology, vol. 16, nº 6, 2014, pp. 228-240."
Anatomia,sardinian,url_metadata,"Anatomia virtuale del corpo umano in 3D gratis sul tuo PC, in abtechno.org."
Anatomia,sardinian,english_text,More 2000 slices MR and CT scan to create an interactive atlas of whole body cross-sectional anatomy.
Anatomia,sardinian,url_metadata,", ) (EN) Free online anatomy atlas, in innerbody.com."
Anatomia,sardinian,url_metadata;english_text,"Anatomy of the Human Body by Henry Gray, in bartleby.com."
Andreas_Fridolin_Weis_Bentzon,sardinian,template_boilerplate,"F. W. Bentzon, The Launeddas."
Andreas_Fridolin_Weis_Bentzon,sardinian,isbn_doi;citation_shape,"A Sardinian folk music instrument (2 voll. Acta Musicologica Danica n°1), Akademisk Forlag, Copenaghen, 1969 F. W. Bentzon, Launeddas, Cagliari, 2002 ISBN 8888998004 Cirese A. - Murru A."
Andreas_Fridolin_Weis_Bentzon,sardinian,citation_shape,"Il mondo poetico di Ortacesus nelle registrazioni e negli studi di Andreas Fridolin Weis Bentzon con 2 CD Audio, Cagliari, 2006 Unu de Danimarca (in sardu) Andreas Fridolin Weis Bentzon - Sardegna Cultura Archiviadu su 5 martzu 2016 in s'Internet Archive."
Anibal_Troilo,sardinian,citation_shape,"Tito Reyes (su pius chi es' restadu cun Troilo: undig'annos finas a sa fine) Comente e composidore aiat iscrittu unu numeru immensu de tangos, zitende sos pius famosos: Sa domo de Pichuco Archiviadu su 13 nadale 2009 in s'Internet Archive."
Anna_Cristina_Serra,sardinian,isbn_doi;citation_shape,"Anna Cristina Serra, Bellebbatu - La parlata di San Basilio, Domus de Janas, 2009, ISBN 978-88-88569-87-1, OCLC 731501700."
Anna_Cristina_Serra,sardinian,isbn_doi;citation_shape,"Anna Cristina Serra, Lentores = Drosies = Rugiade, 1ª ed., Soter, 20 austu 2019, ISBN 978-88-97943-90-7, OCLC 1137754087."
Anna_Cristina_Serra,sardinian,template_boilerplate,"Anna Cristina Serra, Alientu, 2004."
Anna_Cristina_Serra,sardinian,isbn_doi;citation_shape,"ed, Selàrgius, Domus de Janas, 2006, ISBN 88-88569-61-8, OCLC 77504100."
Anna_Cristina_Serra,sardinian,isbn_doi;citation_shape,"Grafica del Parteolla, 2013, ISBN 978-88-6791-018-2, OCLC 931462627."
Anna_Maria_Jopek,sardinian,citation_shape,"Upojenie (e Pat Metheny) (2002) BMW Jazz Club Volume 1: Jo & Co (live) (2008) Nie przychodzisz mi do głowy (1997) Księżyc jest niemym posłańcem (1999) Na całej połaci śnieg (e Jeremi Przybora, 1999) Nadzieja nam się stanie (1999) Henry Lee / Tam, gdzie rosną dzikie róże (e Maciej Maleńczuk, 2001) O co tyle milczenia (2002) Małe dzieci po to są (2003) Tam, gdzie nie sięga wzrok (2003) A gdybyśmy nigdy się nie spotkali (2006) Cisza na skronie, na powieki słońce (2008) Situ d'Anna Maria Jopek Archiviadu su 2 làmpadas 2009 in s'Internet Archive."
Anna_Oppo,sardinian,isbn_doi;citation_shape,"Anna Oppo e Sergio Lodde, La Provincia di Oristano: il lavoro e la vita sociale, Cinisello Balsamo, Silvana Editoriale, 1991, ISBN 9788836603084, OCLC 879841144."
Anna_Oppo,sardinian,isbn_doi;citation_shape,"Anna Oppo, Simonetta Piccone-Stella e Amalia Signorelli, Maternità, identità, scelte : percorsi dell'emancipazione femminile nel Mezzogiorno, Napoli, Liguori, 2000, ISBN 9788820730222, OCLC 237396927."
Anna_Oppo,sardinian,isbn_doi;citation_shape,"Robert King Merton, Teoria sociologica e ricerca empirica, tradutzione de Anna Oppo, Carlo Marletti, 1972  [1949],  pp. 278, ISBN 978-88-15-07654-0, OCLC 886570503."
Anna_Rita_Del_Piano,sardinian,citation_shape,"Popolari) (2008) Arie di Napoli regia di Pino Cormani (2009) Ombretenue omaggio a Billie Holiday, (2009) Monologo “Portapporta” Premio Fiorenzo Fiorentini ”Amore per Roma”  (Finalista) (2010) “Come prendere 2 piccioni con una fava”, Concetta (2011) “Nulla è Cambiato”, Angela, (2011) Il Rondello, Anna Rita Del Piano Archiviadu su 14 cabudanni 2013 in s'Internet Archive."
Annalisa_Diaz,sardinian,url_metadata;citation_shape,"University Press_Ricerche Sociali/Cuec, 2013 (IT) Annalisa Diaz - X legislatura, Parlamento italiano, in legislature.camera.it."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Mortu in die nodida, Ulìana, Ethos Edizioni, 2012, ISBN 8895226283."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Francesco Cossiga dalla A alla Z. Il vocabolario del sardo che viveva per la politica, Ulìana, Ethos Edizioni, 2012, ISBN 978-88-95226-24-8, OCLC 795156541."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Appunti sparsi di un cronista, Edizioni La Zattera, 2017, ISBN 8885586066."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Cossiga e l'alfabeto con la K, Santelli Editore, 2020, ISBN 9788892920125."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Anthony Muroni, Mario Melis: il presidente dei Sardi, Casteddu, Arkadia Editore, 2021, ISBN 978-88-6851-326-9, OCLC 1258021853."
Anthony_Muroni,sardinian,isbn_doi;citation_shape,"Antoni Murone, In s'àndala de is gigantes: Un'istòria ispantosa, tradutzione de Tore Cubeddu e Micheli Ladu, Casteddu, Edizioni La Zattera, 2023, ISBN 979-12-2205-530-5."
Antine_Nivola,sardinian,citation_shape,"In su 1962 at insegnadu in su dipartimentu de arte de sa Columbia University e at otentu reconnoschimentos in New York (medàllia de prata de sa ""Architectural League"" e diploma de sa ""Municipal Art Society""; in su 1967 medàllia de oro e in su 1968 ""Fine Arts Medal"" de su ""American Institute of Architets"")."
Antine_Nivola,sardinian,english_text,"In sos annos imbenientes Antine Nivola at sighidu cun sa faina de s'insegnamentu (""Carpenter Center for the Visual Arts"" in s'Universidade de Harvard e s'Universidade de Berkeley) e est istadu fintzas membru, dae su 1972, de sa ""American Academy and Institute of Arts and Letters"" de New York, fintzas si non teniat sa tzitadinàntzia americana."
Antine_Nivola,sardinian,isbn_doi;citation_shape,"Giuliana Altea e Antonella Camarda, Formal Autonomy versus Public Participation: The Modernist Monument in Costantino Nivola’s work, in Inbal Ben-Asher Gitler (a incuru de), Monuments and Site-Specific Sculpture in Urban and Rural Space, Cambridge Scholars Publishing, 11 maju 2017,  pp. 134-162, ISBN 9781443892711."
Antine_Nivola,sardinian,isbn_doi;citation_shape,"La Sintesi delle arti, Nùgoro, Ilisso, 2015, ISBN 8862023359."
Antine_Nivola,sardinian,isbn_doi;citation_shape,"Costantino Nivola, Costantino Nivola : 100 years of creativity, a incuru de Renato Miracco, Milanu, Charta, 2012, ISBN 9788881588367."
Antine_Nivola,sardinian,isbn_doi;citation_shape,"Maddalena Mameli, Le Corbusier e Costantino Nivola: New York, 1946-1953, Milanu, FrancoAngeli, 2012, ISBN 9788856846287."
