sentence,label,source
"(sostenendosi, si strappa dalle mani di lei, che lo tira, e con un riso nervoso, di sfida, ma pur di intenso turbamento) - No, ti dicu, ca nenti mi po' fari!",sicilian,'a vilanza/Atto III
"Eh già, allura vui, subitu... si sapi!...",sicilian,Cappiddazzu paga tuttu/Atto I
"Iu 'u truvai cca, ccu tia e ammazzai ad iddu! Ma a mia, iddu.... chi c'entra?!... Ah, Saru, Saru, iu ppi tia, chi cridi? Ppi tia, ppi sarvari a tia!.... 'U sacciu, zìttiti, non parrari!... Chissa è, 'a me' forza e 'a me' ragiuni!",sicilian,'a vilanza/Atto III
"Si s'incuntranu cca, comu fazzu? (_si fa alla finestra, e subito riponendosi la mano al cuore, se ne ritrae_)--Oh Dio! ecculu cca!",sicilian,Cappiddazzu paga tuttu/Atto III
"E cu tuttu 'stu catuniu c'aviti fattu, m'aveva scurdatu la megghiu... (_guardandoli Comu! finiu ca è americanu?",sicilian,Cappiddazzu paga tuttu/Atto II
Ca si pigghia li so' vasuni!,sicilian,'a vilanza/Atto II
"Ma, accussì, a occhiu e cruci.... pozzu sbagghiari di picca.... cridu ca 'u miliuni 'u passa....",sicilian,Cappiddazzu paga tuttu/Atto I
Duvemu teniri cuntu di li sentimenti di la giovintù!,sicilian,Cappiddazzu paga tuttu/Atto I
"E chi m'importa siddu vui fingiti supra la scena li parti amurusi, li spasimi, li chianti e li fucusi sensi ca 'nternamenti non sintiti?",sicilian,Centona/La 'atta
Fimmina di paci! c' 'a pistola di sutta!,sicilian,Cappiddazzu paga tuttu/Atto II
"Viniti cca, ca 'a nnimina vintura c'è, nni facemu nèsciri 'a praneta? – A veru è, Filumena!",sicilian,Centona/Ciarlatani
"Tutti 'ssi parti tènniri e 'ngannusi ccu tanta valintizza li faciti ca scippati li lagrimi, criditi, Oggi tuttu è fintizza e fa li vici di qualunchi virtù lu 'ngannu umanu...",sicilian,Centona/La 'atta
'U sapiti comu si dici: «l'omu a vint'otto e la fimmina a diciarottu».,sicilian,Cappiddazzu paga tuttu/Atto I
"E lu pozzu cumprumettiri, cuntannuci li fatti soi a tutti?",sicilian,Cappiddazzu paga tuttu/Atto III
"Ajeri c'era 'na ranocchia... – Non ti scantari, ca ci pensu ju...",sicilian,Centona/Picciriddi
Haiu pinsatu macari a commedia c'avemu a fari davanti a Paulinu...,sicilian,Cappiddazzu paga tuttu/Atto III
Doppu c'aviti fattu l'uffiziu d' 'u diavulu?,sicilian,Cappiddazzu paga tuttu/Atto II
"(tentando di tirarlo dentro) - Trasiti cca, trasiti cca, circati d'ammucciarivi!",sicilian,'a vilanza/Atto III
"Lassati fari a vui, Don Liddu, pi chistu! e macari a vui, D.",sicilian,Cappiddazzu paga tuttu/Atto II
"Pesetas, pesetas--si chiamanu accussì ddà sutta!",sicilian,Cappiddazzu paga tuttu/Atto II
"Ah, già 'nfurmata è idda?",sicilian,Cappiddazzu paga tuttu/Atto I
"Ma iddu certu appi a essiri, ca ti lu misi 'ntesta!",sicilian,Cappiddazzu paga tuttu/Atto II
"Picciotti, amici mei, vi preju a tutti, datimi ajutu, 'nnunca nèsciu pazzu!",sicilian,Centona/La 'atta
'U stati sfasciannu d'acussì? (_guardando l'immagine_) Guardati chi cc'è cca!,sicilian,Cappiddazzu paga tuttu/Atto II
"No, si cc'è 'a signura Pràzzita? (_Rachelina irrompe dall'uscio, per il quale è scesa in giardino sovraccarica di fiori, che con grande esultanza, ridendo come una mattarella, comincia a gettare all'uno e all'altro dei giovani che ridono schermendosi e cercando d'afferrarla_). (_cercando di colpirli coi fiori_)--Cca!... cca!... tiniti cca!...",sicilian,Cappiddazzu paga tuttu/Atto I
"Ca cc'era bisognu d' 'u vostru consensu! (_parlando al ritratto_)--Eh, poviru mortu, cu' ti l'avia a diri, ca ti stavanu manciannu li càmuli e li fulinii, senza riscidiriti nuddu! nuddu ca t'addumava un sordu d'ogghiu! nuddu ca ti purtava un ciuri!",sicilian,Cappiddazzu paga tuttu/Atto II
E la parola! il debito d'onore!,sicilian,Cappiddazzu paga tuttu/Atto I
"Per carità, non dite così!",sicilian,Cappiddazzu paga tuttu/Atto III
"Iddu ammuttau 'u barcuni, ca si rapiu a vanidduzza, trasiu a quattru peri, e strascinannusi cammira cammira, si 'nficcò sutta 'u me' lettu!",sicilian,'a vilanza/Atto II
"Ve ne potete andare voi, e non vi (_che durante questo discorso s'è avvicinato alla comune, torna indietro pian piano e posando calmo e fermo una mano sulla spalla di D.",sicilian,Cappiddazzu paga tuttu/Atto II
"Mittitici nomu e cugnomu, pirchì, si mi siddiu iu, toccu famigghi!",sicilian,Cappiddazzu paga tuttu/Atto II
"(_le maschere cominciano a muoversi, seguendo il tempo del ballabile_).",sicilian,Cappiddazzu paga tuttu/Atto III
"E ora mi nni vaiu! (_trattenendolo_)--Bonu, vah!",sicilian,Cappiddazzu paga tuttu/Atto II
Ti giuru ca non ci turcirò un capiddu!,sicilian,'a vilanza/Atto III
"Ccu lu rusariu a manu, a la capanna, dirai prijeri pri morti e viventi.",sicilian,Centona/La 'atta
"– (Ca senti, senti, Janu!... Chi non riri?) Pirchì, chi v' 'a facistivu 'ntuppari? – Ma 'nsumma, 'mmari Tudda, ch'è doviri ca 'sina dintra nni l'ha' a scuncicari?",sicilian,Centona/Curigghiara
"(se ne va lentamente, dondolandosi, con contorcimenti serpentini e movimenti provocanti di fianchi; giunta presso l'uscio di sinistra si ferma, volta soltanto la testa e, con gli occhi imbambolati e pieni di voluttà, lo fissa un istante, poi gli dice, a mezza voce, invitante) - Veni?!",sicilian,'a vilanza/Atto I
Di chi si Bella accuglienza cci stauru priparannu!....,sicilian,Cappiddazzu paga tuttu/Atto II
Ca dunca pirchì 'a iti circannu 'sta casa?,sicilian,Cappiddazzu paga tuttu/Atto I
"Unu, dui, tri, quattru, cincu, sie, setti, ottu, novi, deci.",sicilian,tatoeba:scn
"Pirchì iu 'u sacciu, chiddu ca soffri, senza diri nenti!...",sicilian,'a vilanza/Atto I
"... (si ode il campanello d'ingresso e, sciogliendosi).",sicilian,'a vilanza/Atto II
"Biniditta Santa Lucia ca ti desi 'sta bella Ah, pi daveru palcuscenicu è?",sicilian,Cappiddazzu paga tuttu/Atto III
"Chi purtati? – Oru e bastuni – Mi nni vogghiu jri, va, 'nnunca scattu!...",sicilian,Centona/Ciarlatani
– Il tocco è un giuoco che si fa col vino.,sicilian,Centona/Mafiusi di città
"Bravu lu Ca si sapi, 'nt' e' cummedii, s'arridi e si chianci! si chianci e Vah!",sicilian,Cappiddazzu paga tuttu/Atto III
"Permesso di qui? (_s'introduce per la sinistra; poi, dall'interno_)--Mi posso introdurre?....",sicilian,Cappiddazzu paga tuttu/Atto III
nn'apprufittu ppi dormiri tanticchia di chiù....,sicilian,'a vilanza/Atto II
"Comu, ci faciti 'st'offisa, 'a cummari?... (strafottente) - Nenti, nenti, siddu n' 'o voli, m' 'u vivu iu!... (accosta il bicchiere alle labbra, con l'aria di dare una risposta alla (fermandole il braccio) - No!...",sicilian,'a vilanza/Atto I
"Quantu?... – Fanni un chilu e menzu. – Ccu 'ammarinatu, l'agghiu, acitu e menta, mangia un piattu propria arriali!... – A mia, marchisi!... – E lèviti d' 'u menzu!",sicilian,Centona/Ciarlatani
"Abbasta ca non fa nesciri a mia, annunca a iocu di tutui finisci!",sicilian,Cappiddazzu paga tuttu/Atto III
"Puddaru, cunigghiera, Ca già... l'arca di Noè...",sicilian,Cappiddazzu paga tuttu/Atto II
"Iu non haiu parratu, e E mentri vui vi stati mutu, D.",sicilian,Cappiddazzu paga tuttu/Atto I
"Lu tempu è priscialoru, e passa, e fui!",sicilian,Centona/La 'atta
"Uno stanzone rustico a pianterreno, con le pareti imbiancate a calce, color giallone o verdognolo.",sicilian,Scuru/Atto I
"... (si ferma e, con un ghigno di soddisfazione) - Ah, restu?!",sicilian,'a vilanza/Atto II
"Idda si metti addinucchiata supra ddi quattru zampitti, e s'appoia 'a testa, ccu 'dda varvitta, supira 'u lettu!....",sicilian,'a vilanza/Atto II
Non mi pari l'ura di vidillu cu 'i robbi d' 'a me' parti!,sicilian,Cappiddazzu paga tuttu/Atto III
Braciere acceso presso il seggiolone.,sicilian,Scuru/Atto I
"Iu in sensi perfetti, sugnu....",sicilian,'a vilanza/Atto II
Iu sempri di pirsuna haiu pagatu!,sicilian,Cappiddazzu paga tuttu/Atto II
e accussì l'avi a sapiri iddu.,sicilian,'a vilanza/Atto III
"E mi l'aviti straziatu, stanotti!",sicilian,'a vilanza/Atto III
"(va ad aprire gli scuri della finestra e a traverso i vetri entra sulla scena la prima squallida luce dell'alba che, man mano, si va facendo più intensa) - Si, sta agghiurnannu.",sicilian,'a vilanza/Atto III
"Mi nni rispunniti vui di la (_fingendo timore_)--Iu vi pregu, caru D.",sicilian,Cappiddazzu paga tuttu/Atto I
"Chista cca, 'a vecchia, dici e non dici... ietta 'na paruledda ca percia balati.... e poi.... non sapi cchiù nenti....",sicilian,Cappiddazzu paga tuttu/Atto III
E cu' è ca po' parrari accussì?,sicilian,Cappiddazzu paga tuttu/Atto III
"Siccomu 'u ziu avia dittu accussì.... (_a don Liddu_)--Amici mei, tutti 'sti cunti.... pi carità, all'urtimu! (_a Rachelina_)--Eh sì, figghia....",sicilian,Cappiddazzu paga tuttu/Atto II
"Nittu e Brasi, che stanno in piedi tra i due gruppi, un po' appressandosi all'uno un po' all'altro in controsenso, appena essi accennano di venire a lite.",sicilian,Cappiddazzu paga tuttu/Atto II
"Sutta la rocca, a manu 'ritta, scinninu li casuzzi e li caseddi, arrampicati a la costa e ricuperti di ciaramiti, virdi e giálini di lippu.",sicilian,Centona/Vanni Lupu
"Ma scusati, cc'è 'a cosa d' 'i du' casi... com'è ca si po' risorviri cu Già?",sicilian,Cappiddazzu paga tuttu/Atto II
"'Ntra la vanedda di li Tri Scaluni ci sta 'na bedda figghia civittuna, all'ùnnici s'affaccia a lu barcuni e si nni trasi quannu sona l'una.",sicilian,Centona/Fimmini beddi
"Gasparinu Solima c'avi tant'anni ca mi veni d'appressu, si non avissi statu chinu di gilusii e di faiddi, ca vui 'u canusciti...",sicilian,Cappiddazzu paga tuttu/Atto I
"A sinistra della scena, altro pianterreno con due catodii, e tra le porte di questi una fontana.",sicilian,San Giuvanni Decullatu/Atto I
"Cu' s'ammuccia di cca, cu' s'ammuccia di ddà!....",sicilian,Cappiddazzu paga tuttu/Atto III
"Tutti santi e biniritti, chi cc'entra!",sicilian,Cappiddazzu paga tuttu/Atto I
E semu mortificati di l'ardiri ca nn'avemu pigghiatu...,sicilian,Cappiddazzu paga tuttu/Atto I
"Ah, non sapiti pirchì e pi comu?",sicilian,Cappiddazzu paga tuttu/Atto II
"N' ha' paura, ca non mi vidi.",sicilian,'a vilanza/Atto III
"Brasi! (_Brasi si ferma, si volta e lo guarda_)--Non cci sugnu cchiù pi",sicilian,Cappiddazzu paga tuttu/Atto I
Ju ti diceva: – Si mi lassi mori di li me' manu!,sicilian,Centona/La 'atta
"Ma Nino Martoglio non fu poeta lirico soltanto: fu anche commediografo acclamato, in lingua e in dialetto.",sicilian,Centona/Prefazione
(tira il grilletto e fa partire il colpo che rintrona sinistro nella stanza).,sicilian,'a vilanza/Atto III
"– Ma chi, ma chi!",sicilian,Centona/La 'atta
"Saru... e non vurrissi ca...--megghiu cci vaiu ora stissu e ci dugnu 'a Cucina, tutta 'sta primura...",sicilian,Cappiddazzu paga tuttu/Atto I
"Giornalista per tanti anni nella sua nativa Catania, figlio di giornalista, fondò e diresse il d'Artagnan, la cui memoria è ancora vivissima nell'Isola: miniera inesauribile di spirito.",sicilian,Centona/Prefazione
"Non addrizzari li gammi a li cani, lassa lu vrazzu stortu a San Raineri e lu piloccu a zòtici e viddani.",sicilian,Centona/Fimmini beddi
"A mia non m'ha pigghiatu 'a misura nuddu, e ddocu supra mascaratu non ci (_sorridendo con compiacenza_)--A sapillu prima, Don Nzulu.... si puteva cumminari d'accordu 'na cosa graziusa  Filodrammiticu sugnu.",sicilian,Cappiddazzu paga tuttu/Atto III
"Ti piacissi, a tia, 'a mugghiredda 'mbriaca, è veru?... (fa per afferrargli la testa). (respingendola, duro) - Va, levati!...",sicilian,'a vilanza/Atto I
"Nel gioco del tocco si dice impiccato quello dei giocatori che resta a becco asciutto, per partito preso dal padrone o dal sotto) – Mmuccuni (sorso) – Si quannu mai (nel gergo: se mai) – Un jriteddu (un ditino) – Nni fazzu passu (lo rifiuto) – Niscìte (uscite) – Tintu sardaru (pezzente) – Sta' accura (mettiti in guardia).",sicilian,Centona/Mafiusi di città
"Cu' nni voli beni nni veni appressu (_si (_impacciato, perplesso, non volendo compromettersi con Donna Tidda, parandosi davanti a Donna Prazzita_)--Signora.... per carità....",sicilian,Cappiddazzu paga tuttu/Atto II
"'a picciridda: mùzzica 'u jiriteddu.... Vecchia sugnu! E junta a vintitrì uri e tri quarti.... No, chissu non l'ha a diri! Ancora, salaratu, si' 'na bannera!.... Mi scantava iu, ha' a diri, ca cci pirdevi troppu tempu....",sicilian,Cappiddazzu paga tuttu/Atto I
Guarda ca 'n'autra nn'haiu a sèntiri!,sicilian,'a vilanza/Atto III
"– Sangu (sangue) – Santiuni (bestemmie) – Isàmu (alziamo: nel gioco delle carte: tagliate) – Tostu (abbreviativo di chiuttostu: piuttosto) – Arraciunati (ragionate) – Arriminati (mescolate) – Facistivu (faceste) – Mazzuni (letteralmente tradotto: mazzone; fari lu mazzuni, nel gioco delle carte significa: far frode) – Taliati (guardate) – Ternu (abbreviativo di eternu: eterno) – Vaju (vado) – Nigghiu (nibbio; fari lu nigghiu: abbujarsi, far lamentele) – Truvastuu (trovaste) – Strurusu (dispettoso, che fa struggere).",sicilian,Centona/Ciarlatani
"... 'A crapa martisa!... Cosi da ridiri, ccu 'ssa crapa!... 'U sai ca si curca ccu mia?... Certi discursi ca facemu, a' notti!",sicilian,'a vilanza/Atto II
"Si zittissi, si zittissi, ci dicu!....",sicilian,'a vilanza/Atto II
"No, no vui, l'azioni ca mi vuliti fari fari, mi fa ribrezzu!...",sicilian,'a vilanza/Atto II
Sutta l'occhi toi stissi... sutta l'occhi d'iddu... - ca non sacciu comu ha fattu a non si nni addunari!,sicilian,'a vilanza/Atto II
"E.... si cci permetti, cci vulissi diri 'na cosa....",sicilian,Cappiddazzu paga tuttu/Atto II
Controparte vivacissima dei due giovanotti che subito cavano i fazzoletti per asciugarle le lagrime e confortarla a soggetto_).,sicilian,Cappiddazzu paga tuttu/Atto I
"L'amuri, certi voti, è cungignatu, comu a du' aceddi di diversi nida: unu vola luntanu, ch'è 'mpinnatu, 'n'autru è senza pinni e non si fida!...",sicilian,Centona/La 'atta
Sa cu' l'ha a fari 'ssa parti?,sicilian,Cappiddazzu paga tuttu/Atto III
"Ma forsi a 'st'ura è in chiazza, ca si sta facennu 'i canniggiaturi....",sicilian,'a vilanza/Atto II
"Donna Tidda interpreta questo accasciamento come un esacerbarsi dell'antica piaga dell'amore per lei_). (_rimasta un po' indietro contempla don Nzulu accasciato, accenna il segno della croce con meraviglia dolente, poi gli si accosta e dice carezzevole con dolce mestizia_)--Cucinu.... ca pi daveru vi dispiacistivu tantu di 'ssu me' fidanzamentu.... (_seduto, curvo con le braccia appoggiate sulle gambe a penzoloni, tentennando il capo cogli occhi socchiusi_)--Assai....",sicilian,Cappiddazzu paga tuttu/Atto I
E iu haiu datu ppi nenti lu me' onuri!,sicilian,'a vilanza/Atto III
"L'haiu vistu ccu l'occhi mei, ajeri, a tavula!",sicilian,'a vilanza/Atto II
"Rusulina e detti. (_ai due sarti che entrano_)--Oh, bravu, D.",sicilian,Cappiddazzu paga tuttu/Atto II
"Avi tri uri ca mi nni vaiu 'n suppilu 'n suppilu, cca, a tavula, guardannuti 'nta 'ssa vucca!... (fa un gesto di smarrimento e di voluttà con gli occhi).",sicilian,'a vilanza/Atto I
Vah! c'ancora 'u scherzu cuntinua?,sicilian,Cappiddazzu paga tuttu/Atto III
"Assittativi a giru e permettiti ca cuminciu! (_stando sempre sul piccolo palcoscenico, chiude all'interno il velario, nascondendosi a tutti_).",sicilian,Cappiddazzu paga tuttu/Atto III
A ddu tempu jeva â scola a pedi.,sicilian,tatoeba:scn
"No, non chiamari a nuddu: aspettu a 'sso soru, 'a vecchia di l'acitu.... _riappare_: La Vecchia di l'acitu. 'N'autra vota 'a Vecchia cc'è'!",sicilian,Cappiddazzu paga tuttu/Atto III
"Anzi, mi vuliti lassari fari a mia pi tuttu, ora ca vi viu cca beddi cueti, ca tutti li quistioni sunnu risuluti (_ridestandosi come da un fascino, vivacemente_)--Chi?",sicilian,Cappiddazzu paga tuttu/Atto II
"Genti bona, pi 'ssa cosa, si... ma aciddazzi Ma su' galantomini?",sicilian,Cappiddazzu paga tuttu/Atto I
Mah.... chi vuliti ca vi dicissi?,sicilian,Cappiddazzu paga tuttu/Atto I
"Rientra subito dopo, seguito dalle due donne, alle quali fa cenno di parlar piano perchè il padrone dorme_). (_pianissimo_)--Chi fazzu, 'u chiamu?  ah?",sicilian,Cappiddazzu paga tuttu/Atto I
"E chi vi vuliti ristari, cca?",sicilian,'a vilanza/Atto III
"Pirchì dunca, chi soddisfazioni fussi, accussì?",sicilian,'a vilanza/Atto III
Non la vogghiu cchiù vidiri! non la vogghiu cchiù vidiri!,sicilian,Cappiddazzu paga tuttu/Atto II
"Ddocu vui, ca fustivu 'nsemi... (_sorridendo_)--No, no, cucina....",sicilian,Cappiddazzu paga tuttu/Atto I
Mentri ca vui non vuliti sèntiri!,sicilian,Cappiddazzu paga tuttu/Atto II
Ca daveru un diavulu è!,sicilian,Cappiddazzu paga tuttu/Atto III
"– Riuturi (rivolture, tempesta di vento) – Niscíu (sortì) – Sóri (quieti) – Vitti (vide) – Scuntraturi (bufere) – Spugghiò  (spogliò) – Gioi (gioie)  – Arvuli (alberi) – Persi (perdette) – Viluzzi (vele) – Unna (onda) – Fui (fugge) – Soi (suoi).",sicilian,Centona/La 'atta
Mi pari ca 'ntisi scrusciu di licchettu!....,sicilian,'a vilanza/Atto I
"E iu, cu chiddi d' 'a mia! a me' parti, parti di sconzu avi ad essiri!",sicilian,Cappiddazzu paga tuttu/Atto III
"Aveva a veniri a' so' casa e aveva ad ammazzari comu un cani a mia, truvannumi ddà, ccu so' mugghieri!",sicilian,'a vilanza/Atto III
"Oh Diu miu, sempri davanti a 'ssu specchiu!.... sempri cu 'ssa pruvuligghia 'mmanu!.... sempri ca t'alliffi e fai cannola!",sicilian,Cappiddazzu paga tuttu/Atto III
"Quali ritrattu? (_tirando Brasi forte per la (_come una che, sapendo con chi ha da fare, non vorrebbe venire subito ai ferri corti_)--Ah chi? macari ddocu ti voi attaccari?",sicilian,Cappiddazzu paga tuttu/Atto II
Giustu ca tu ti l'aviatu a fari....,sicilian,Cappiddazzu paga tuttu/Atto II
... (afferrandogli un braccio) - Hai 'stu scantu?...,sicilian,'a vilanza/Atto II
"E lei, signurina, tantu pi 'na curiusità: cci avia tuttu 'ssu 'nteressi Iu?",sicilian,Cappiddazzu paga tuttu/Atto II
V'assicuru e vi promettu che tutto sarà accomodato con sodisfazioni generali!,sicilian,Cappiddazzu paga tuttu/Atto II
'I vittimu passannu e 'o dissimu: «Chi beddi rosi chi avi 'u ziu!» Tutti pi tia!,sicilian,Cappiddazzu paga tuttu/Atto I
"Zoccu mi dici dici, nun è veru mai.",sicilian,tatoeba:scn
"Chi fu, non ti pozzu guardari?",sicilian,'a vilanza/Atto I
"Hai ragiuni, hai ragiuni, mugghiredda mia!... (se la stringe appassionatamente al petto) Tesoru miu beddu e santu!...",sicilian,'a vilanza/Atto II
"Oh, 'ssu barcuni to', sempri stangatu!",sicilian,Centona/La 'atta
"Gesù, non su' così ca si ponnu diri d' 'a finestra....",sicilian,Cappiddazzu paga tuttu/Atto III
"Sa cu' è ca l'avissi a fari 'ssa Si zittissiru, si zittissiru, ca sta parrannu ddà arreri! (_c. s._)--Oh lu bellu cavallacciu!",sicilian,Cappiddazzu paga tuttu/Atto III
"Prima di tuttu 'un sugnu 'ntinziunatu, e pozza pozza, si m'ha fari zitu, vogghiu 'na picciuttedda d' 'u me' statu, senza vampugghi 'ntesta e aneddi o' jtu.",sicilian,Centona/Fimmini beddi
"Megghiu, certu! ma si non si spiegava mai!",sicilian,Cappiddazzu paga tuttu/Atto I
"Pi 'n'autri vinti jorna, amicu miu! Ma fra un misi, 'stu paisi sarà americanu a tunnu!... 'U sapiti ca me' niputi torna cu dinari assai e sbrizziannuli di cca e di ddà, vuterà la facci a tuttu?",sicilian,Cappiddazzu paga tuttu/Atto I
"'nt' 'o me' lettu, a 'st'ura!.... Abbrazzatu ccu me' mugghieri!",sicilian,'a vilanza/Atto II
"Comu percia la petra la stizzana, 'ccussì lu cori to' sappi pirciari; non fu 'ntra 'n'ura, o un jornu, o 'na simana, e mancu senza chiànciri e pinari.",sicilian,Centona/La 'atta
"Cci attizzai un focu di carbuni scattialoru, ca si nni sta jennu tuttu faiddi faiddi!",sicilian,Cappiddazzu paga tuttu/Atto III
"Si vidi vela turca a la luntana, jsi bannera ccu la Menza Luna, o ccu li Chiavi, s'è vela Rumana; e si pri casu ci nn'è quarcheduna, ch'è menza turca e menza cristiana, ci ammustri lu Curanu e la Curuna!",sicilian,Centona/Fimmini beddi
Si... non pozzu diri o' contrariu...,sicilian,Cappiddazzu paga tuttu/Atto I
